airline_name,overall_score,review_title,reviewer_country,review_date,aircraft_model,travel_type,seat_type,route,date_flown,seat_comfort_rating,service_rating,food_rating,entertainment_rating,groundservice_rating,wifi_rating,value_rating,recommended,year,month
air-france,2,expect the full refund, Romania ,2018-03-16,A380,Couple Leisure,Economy Class,Brussels to Miami via Paris,March 2018,1,4,4,4,1,1,1,0,2018,3
air-france,6,conspicuous by their absence, Romania ,2018-03-13,Boeing 777-300,Couple Leisure,Business Class,Rio de Janeiro to Paris ,March 2018,3,3,4,3,4,0,3,1,2018,3
air-france,8,Good attentive service, Romania ,2018-03-13,Boeing 777-300 Caribbean,Couple Leisure,Business Class,London to Lima via Paris CDG,February 2018,4,4,4,3,3,0,4,1,2018,3
air-france,2,never fly Air France again, Romania ,2018-03-12,,Solo Leisure,Premium Economy,Casablanca to New York JFK via Paris,March 2018,2,3,3,2,1,1,1,0,2018,3
air-france,1,horrible start to the holiday, United Kingdom ,2017-12-09,,Family Leisure,Economy Class,London Heathrow to Mauritius via Paris,December 2017,3,3,2,3,2,3,3,0,2017,12
air-france,1,it was Air France at fault, United Kingdom ,2017-12-03,,Solo Leisure,Economy Class,Paris to Abu Dhabi,November 2017,0,0,0,0,1,0,1,0,2017,12
air-france,2,not sure I will travel Air France again, United Kingdom ,2017-12-03,,Family Leisure,Economy Class,Nice to Paris,December 2017,1,5,0,0,1,0,1,0,2017,12
air-france,1,such a poor experience, United Kingdom ,2017-12-02,,Solo Leisure,Economy Class,Bogota to Rome via Paris,November 2017,3,1,3,1,1,0,1,0,2017,12
air-france,2,Ridiculous and insulting, United Kingdom ,2017-12-01,,Couple Leisure,Economy Class,Vienna to London Heathrow via Paris CDG,December 2016,4,3,3,0,1,0,2,0,2017,12
air-france,1,experience very poor and stressful, United Kingdom ,2017-11-25,,Family Leisure,Economy Class,Barcelona to Atlanta via Paris,October 2017,1,1,0,0,1,0,1,0,2017,11
air-france,7,cabin staff were much better, United Kingdom ,2017-11-24,Boeing 787-9,Family Leisure,Economy Class,London to Paris,June 2017,4,5,4,5,1,0,4,1,2017,11
air-france,1,we were involuntarily downgraded, United Kingdom ,2017-11-24,A340,Couple Leisure,Economy Class,Papeete to Los Angeles,November 2017,1,2,1,1,1,1,1,0,2017,11
air-france,1,what a shame, United Kingdom ,2017-11-20,,Solo Leisure,Business Class,Madrid to Jakarta via Paris,November 2017,3,4,4,2,1,1,4,0,2017,11
air-france,1,don't care about your baggage, United Kingdom ,2017-11-18,,Couple Leisure,Economy Class,Paris to Sofia,October 2017,1,1,1,0,1,0,1,0,2017,11
air-france,2,this was the worst experience, Switzerland ,2018-03-10,A340,Couple Leisure,Economy Class,Zurich to Sint Maarten via Paris,February 2018,1,1,1,1,2,1,2,0,2018,3
air-france,1,flight was 3 hours delayed, Switzerland ,2018-03-10,,Business,Economy Class,London to Rabat via Paris,March 2018,1,1,1,0,1,0,1,0,2018,3
air-france,9,The service was impeccable, Switzerland ,2018-03-08,,Business,Economy Class,Nice to Paris CDG,March 2018,4,5,3,0,4,0,4,1,2018,3
air-france,9,staff well managed everyone, Switzerland ,2018-03-06,A320,Solo Leisure,Economy Class,Geneva and Paris CDG,March 2018,4,5,4,0,5,0,5,1,2018,3
air-france,1,Air France is a joke, Switzerland ,2018-03-02,,Business,Economy Class,Malé to Paris CDG,March 2018,0,0,0,0,1,0,1,0,2018,3
air-france,10,attendants friendly and professional, Switzerland ,2018-03-01,Boeing 777,Couple Leisure,Economy Class,Paris to Santiago de Chile,February 2018,4,4,4,5,4,0,5,1,2018,3
air-france,2,Flight got delayed by 5 hours, Switzerland ,2018-02-28,A330,Solo Leisure,Economy Class,Chicago to Paris,January 2018,1,3,1,3,2,0,1,0,2018,2
air-france,10,aircraft was very clean, Switzerland ,2018-02-26,A319,Business,Economy Class,London to Paris,February 2018,5,5,5,0,5,0,5,1,2018,2
air-france,7,overall a very good experience, Switzerland ,2018-02-20,777-200 & 789,Family Leisure,Business Class,Cape Town to Toronto via Paris,February 2018,4,4,3,2,4,3,4,1,2018,2
air-france,9,rate them highly, Switzerland ,2018-02-20,Boeing 777-300ER,Family Leisure,Business Class,Dubai to Southampton via Paris CDG,February 2018,3,5,4,4,5,0,5,1,2018,2
air-france,1,no one would even help us, United Kingdom ,2017-11-17,,Business,Economy Class,Barcelona to Paris,November 2017,1,1,0,0,1,0,1,0,2017,11
air-france,10,Economy seat was comfortable, United Kingdom ,2017-11-15,Boeing 777-200ER,Solo Leisure,Economy Class,Paris to Vancouver,October 2017,5,5,5,5,5,0,5,1,2017,11
air-france,9,one of European best airline, United Kingdom ,2017-11-14,Boeing 777-300ER,Couple Leisure,Economy Class,Hamburg to Bangkok via Paris CDG,March 2017,3,4,5,4,5,0,5,1,2017,11
air-france,10,cabin crews were helpful and friendly, United Kingdom ,2017-11-14,A320,Business,Economy Class,London to Paris,October 2017,4,5,5,0,5,0,5,1,2017,11
air-france,1,Staff offered no help, United Kingdom ,2017-11-10,,Solo Leisure,Economy Class,Madrid to Paris,November 2017,1,3,0,0,1,0,1,0,2017,11
air-france,6,I was expecting more, United Kingdom ,2017-11-09,A380,Business,Business Class,Paris to Johannesburg,November 2017,1,3,3,5,3,2,3,0,2017,11
air-france,1,downgraded with no advance warning, United Kingdom ,2017-11-06,,Business,Premium Economy,Shanghai to Paris,November 2017,1,2,3,3,2,0,1,0,2017,11
air-france,8,a wonderful Air France employee, United Kingdom ,2017-11-05,A380,Family Leisure,Economy Class,San Francisco to Paris,October 2017,3,4,3,4,5,4,5,1,2017,11
air-france,1,they were not responsible for the delay, United Kingdom ,2017-11-04,,Solo Leisure,Economy Class,Frankfurt to Montpellier via Paris,September 2017,3,3,0,0,1,0,1,0,2017,11
air-france,8,Ground staff service good, United Kingdom ,2017-11-02,A319,Business,Economy Class,Paris Orly to Toulon,October 2017,3,4,2,0,4,0,2,1,2017,11
air-france,3,avoid Air France in the future, United Kingdom ,2018-02-16,,Solo Leisure,Economy Class,Moscow to London via Paris,February 2018,2,3,4,0,1,0,4,0,2018,2
air-france,1,"Air France will not be an option to consider
", United Kingdom ,2018-02-15,,Family Leisure,Economy Class,Paris to New York,February 2018,1,1,3,3,1,1,1,0,2018,2
air-france,10,whole experience was excellent, United Kingdom ,2018-02-11,Boeing 777-300,Family Leisure,Business Class,Southampton to Dubai via Paris CDG,May 2017,5,5,5,5,5,5,5,1,2018,2
air-france,1,Absolutely terrible service, United Kingdom ,2018-02-09,,Business,Business Class,Lisbon to Washington via Paris,February 2018,1,1,1,1,1,1,1,0,2018,2
air-france,9,flight itself was spectacular, United Kingdom ,2018-02-07,A320,Family Leisure,Economy Class,Athens to Paris,October 2017,5,5,4,4,5,0,4,1,2018,2
air-france,4,customer is treated like a cow, United Kingdom ,2018-02-07,A320,Business,Economy Class,Orly to Toulon,February 2018,3,1,0,0,1,0,2,0,2018,2
air-france,9,breakfast served was very good, United Kingdom ,2018-02-03,,Solo Leisure,Business Class,Reunion to Paris,January 2018,3,5,5,4,5,0,3,1,2018,2
air-france,8,promptly brought our nice dishes, United Kingdom ,2018-02-03,,Solo Leisure,Business Class,Paris to Reunion,January 2018,3,4,5,3,5,0,4,1,2018,2
air-france,8,attendants cheerful and smiling, United Kingdom ,2018-02-02,Boeing 777,Couple Leisure,Business Class,Paris to Singapore,January 2018,3,5,5,4,4,0,4,1,2018,2
air-france,10,attendants smiling and friendly, United Kingdom ,2018-01-25,Boeing 777-200,Solo Leisure,Economy Class,London to Vancouver via Paris,December 2017,4,4,5,5,4,0,5,1,2018,1
air-france,10,the best First available, United Kingdom ,2017-12-21,Boeing 777-300,Solo Leisure,First Class,Paris to Beijing,December 2017,5,5,5,5,5,0,5,1,2017,12
air-france,6,the flight was average, United Kingdom ,2017-12-20,A380,Couple Leisure,Economy Class,Johannesburg to Munich via Paris,December 2017,3,3,3,1,3,0,3,1,2017,12
air-france,10,aircraft was clean and comfortable, United Kingdom ,2017-12-19,A319,Business,Economy Class,London to Paris CDG,October 2017,4,4,4,0,4,0,5,1,2017,12
air-france,10,very good value for money, United Kingdom ,2017-12-18,A320,Solo Leisure,Economy Class,Lisbon to Paris CDG,December 2017,5,5,5,5,5,5,5,1,2017,12
air-france,3,difference to low cost airlines minimal, United Kingdom ,2017-12-17,,Solo Leisure,Economy Class,Tel Avivi to Stockholm via Paris CDG,November 2017,2,2,2,0,4,0,3,0,2017,12
air-france,5,I would fly them again, United Kingdom ,2017-12-16,,Business,Economy Class,Cape Town to Los Angeles via Paris CDG,December 2017,2,3,3,2,4,0,3,1,2017,12
air-france,2,service on board was just average, United Kingdom ,2017-12-14,,Solo Leisure,Economy Class,Sydney to Paris CDG via Shanghai,August 2017,3,2,4,3,2,0,1,0,2017,12
air-france,10,Enjoyed flying with Air France, United Kingdom ,2017-12-14,Boeing 777-200ER,Solo Leisure,Economy Class,Paris to Vancouver,October 2017,5,5,5,5,4,0,5,1,2017,12
air-france,2,AF spreading this busline of theirs, United Kingdom ,2017-12-14,A320,Business,Economy Class,Barcelona to Paris CDG,December 2017,3,3,1,1,4,1,1,0,2017,12
air-france,8,a good flying experience, United Kingdom ,2017-12-12,A319/A320,Solo Leisure,Economy Class,Hamburg to Paris CDG,March 2017,3,4,4,0,5,0,4,1,2017,12
air-france,10,What a great flight, France ,2018-01-23,A319,Couple Leisure,Business Class,Naples to Paris CDG,January 2018,4,5,5,0,5,0,5,1,2018,1
air-france,10,still possible to enjoy flying, France ,2018-01-23,A319 / A320,Family Leisure,Economy Class,Heathrow to Paris CDG,January 2018,4,5,4,0,5,0,5,1,2018,1
air-france,9,my daughters child meal was exceptional, France ,2018-01-10,Boeing 777-200,Family Leisure,Economy Class,Buenos Aires to Paris ,December 2017,4,5,5,4,4,0,5,1,2018,1
air-france,9,"Overall, a good flight", France ,2018-01-07,A320,Couple Leisure,Economy Class,Berlin TXL to Paris CDG,January 2018,5,5,3,4,4,4,3,1,2018,1
air-france,3,expect your luggage to arrive, France ,2017-12-31,Boeing 777-200,Couple Leisure,Business Class,Paris to Sao Paulo,December 2017,4,4,5,4,1,1,1,0,2017,12
air-france,9,seat was comfortable, France ,2017-12-28,Boeing 787,Solo Leisure,Economy Class,London to Paris,November 2017,5,4,5,5,4,0,5,1,2017,12
air-france,10,"clean, beautiful cabin", France ,2017-12-27,Boeing 777-200,Solo Leisure,Economy Class,Paris to Vancouver,October 2017,4,4,4,5,5,0,5,1,2017,12
air-france,10,still very good comfort, France ,2017-12-27,Boeing 777-300,Solo Leisure,Business Class,Paris to Rio de Janeiro,December 2017,5,5,5,5,5,0,5,1,2017,12
air-france,3,Sub par experience, France ,2017-12-26,,Family Leisure,Economy Class,Paris CDG to Berlin,December 2017,3,3,0,0,1,0,1,0,2017,12
air-france,4,it was completely under par, France ,2017-12-21,A380,Couple Leisure,Business Class,Paris to Cape Town via Johannesburg,December 2017,1,4,2,2,1,0,1,0,2017,12
air-france,8,good inflight service, France ,2017-11-02,Boeing 777-200,Business,Premium Economy,Cayenne to Paris Orly,October 2017,4,4,4,4,5,0,3,1,2017,11
air-france,8,appreciated for size of seats, France ,2017-11-02,Boeing 777-200,Business,Premium Economy,Paris-Orly to Cayenne,October 2017,4,5,4,5,4,0,3,1,2017,11
air-france,5,quantity of the food was below par, France ,2017-10-31,Boeing 777-300 / A320,Solo Leisure,Economy Class,Amsterdam to Lima via Paris,October 2017,3,3,2,2,4,0,2,0,2017,10
air-france,1,the worst customer experience2, France ,2017-10-31,A380,Business,Economy Class,Paris to San Francisco,October 2017,3,4,3,4,1,4,1,0,2017,10
air-france,8,one of the best flights, France ,2017-10-27,A380,Solo Leisure,Business Class,Paris CDG to New York,October 2017,3,5,3,2,2,0,5,1,2017,10
air-france,2,"A340 was old, smelly and dirty", France ,2017-10-21,A340,Business,Economy Class,Bogota to Edinburgh via Paris CDG,October 2017,3,3,3,1,1,0,1,0,2017,10
air-france,1,very bad customer service, France ,2017-10-19,,Couple Leisure,Economy Class,Paris to Venice ,September 2017,1,1,0,0,1,0,1,0,2017,10
air-france,10,cabin was looking new and clean, France ,2017-10-18,Boeing 777-200ER,Solo Leisure,Economy Class,Paris CDG to Vancouver,October 2017,5,5,5,5,5,0,5,1,2017,10
air-france,7,service was impeccable, France ,2017-10-16,,Solo Leisure,Business Class,Dublin to Paris CDG,October 2017,3,5,3,0,2,0,3,1,2017,10
air-france,1,ignore you wherever possible, France ,2017-10-08,,Business,Economy Class,Bengaluru to Toronto via Paris,October 2017,2,1,1,0,1,0,1,0,2017,10
air-france,2,the worst airline food, United States ,2017-09-24,Boeing 777-300ER,Couple Leisure,Premium Economy,Atlanta to Paris,September 2017,2,2,1,3,3,0,2,0,2017,9
air-france,6,low cost flight at rather expensive price, United States ,2017-09-21,ERJ-190,Solo Leisure,Economy Class,Ljubliana to Paris,August 2017,2,4,3,0,4,0,3,1,2017,9
air-france,10,enjoyed flying with Air France, United States ,2017-09-17,A320,Business,Economy Class,Paris to Nice,August 2017,5,5,4,0,5,0,5,1,2017,9
air-france,1,have not received my lost baggage, United States ,2017-09-17,,Couple Leisure,Economy Class,Lyon to Rome,September 2017,3,3,3,0,1,0,1,0,2017,9
air-france,10,I'd recommend Air France, United States ,2017-09-15,A380,Business,Premium Economy,Brussels to Johannesburg via Paris,September 2017,4,5,5,5,5,4,5,1,2017,9
air-france,10,Very professional and attentive, United States ,2017-09-13,A319,Couple Leisure,Economy Class,Munich to Paris CDG,September 2017,3,5,5,0,5,0,5,1,2017,9
air-france,1,there were many empty seats, United States ,2017-09-07,A330,Family Leisure,Economy Class,Paris CDG to Seattle,September 2017,3,5,3,3,1,0,1,0,2017,9
air-france,3,old Business Class is a joke, United States ,2017-08-30,Boeing 777-300,Business,Business Class,Paris to Santiago de Chile,July 2017,2,1,3,3,3,0,2,0,2017,8
air-france,6,luggage was not on the plane, United States ,2017-08-30,A380,Couple Leisure,Premium Economy,Paris to New York,August 2017,3,5,5,5,1,0,2,0,2017,8
air-france,10,friendly cabin crews, United States ,2017-08-28,A319,Solo Leisure,Economy Class,London to Paris CDG,August 2017,5,4,4,0,5,0,5,1,2017,8
air-france,8,Uneventful and convenient flight, Germany ,2017-07-28,A318,Business,Economy Class,Florence to Paris CDG ,May 2017,4,4,3,0,4,0,5,1,2017,7
air-france,3,no knowledge of nutrition, Germany ,2017-07-24,Boeing 777,Business,Economy Class,Paris to Montreal,July 2017,2,1,1,3,4,0,2,0,2017,7
air-france,7,seat is comfortable, Germany ,2017-07-22,ATR-72,Solo Leisure,Economy Class,Bordeaux to Florence via Lyons,June 2017,3,3,3,0,2,0,3,1,2017,7
air-france,10,beautiful new cabin, Germany ,2017-07-20,Boeing 787,Solo Leisure,Economy Class,London to Paris,June 2017,5,5,5,5,5,0,5,1,2017,7
air-france,10,a pleasant flight, Germany ,2017-07-17,A321,Solo Leisure,Economy Class,Paris to Rome,July 2017,4,5,4,0,5,0,4,1,2017,7
air-france,9,best first class experience ever, Germany ,2017-07-13,Boeing 777,Solo Leisure,First Class,Dublin to Singapore via Paris CDG,July 2017,5,5,4,5,4,4,4,1,2017,7
air-france,9,staff very good and attentive, Germany ,2017-07-09,Boeing 777-300,Business,Premium Economy,Dublin to Sao Paulo via Paris CDG,April 2017,3,4,4,4,4,0,4,1,2017,7
air-france,8,definitely recommend Air France, Germany ,2017-07-07,Boeing 777,Solo Leisure,Economy Class,Paris to Bangkok,June 2017,4,4,3,4,4,0,4,1,2017,7
air-france,1,inconvenience for our family, Germany ,2017-07-06,,Family Leisure,Economy Class,Florence to Paris,June 2017,1,1,0,0,1,0,1,0,2017,7
air-france,8,A very good flight , Germany ,2017-07-06,,Solo Leisure,Economy Class,Paris CDG to Mumbai,January 2017,4,4,3,5,3,3,4,1,2017,7
air-france,7,convenient and reliable service, France ,2017-08-26,Embraer 170 / Avro RJ85,Solo Leisure,Economy Class,Paris to Bremen,August 2017,3,4,4,0,4,0,4,1,2017,8
air-france,1,no one is capable of giving you an answer, France ,2017-08-24,Boeing 77,Couple Leisure,Economy Class,Dubai to Paris CDG,August 2017,3,3,0,0,1,0,1,0,2017,8
air-france,5,seats are automatically assigned, France ,2017-08-22,A321,Couple Leisure,Economy Class,Ajaccio to Paris Orly,August 2017,1,3,1,0,3,0,5,1,2017,8
air-france,3,like going back in time, France ,2017-08-22,,Business,Economy Class,Toronto to Frankfurt via Paris,August 2017,2,1,2,1,2,0,2,0,2017,8
air-france,9,A very pleasant flight indeed, France ,2017-08-20,A318,Couple Leisure,Economy Class,Paris CDG to Figari ,August 2017,3,5,2,0,4,0,5,1,2017,8
air-france,7,service friendly and personal, France ,2017-08-19,CRJ 1000 / A319,Solo Leisure,Economy Class,Amsterdam to Nantes,July 2017,4,3,3,0,2,0,3,1,2017,8
air-france,9,definitely fly Air France again, France ,2017-08-14,Boeing 777-200,Solo Leisure,Business Class,Paris CDG to Sao Paulo,August 2017,4,5,5,4,4,0,4,1,2017,8
air-france,1,Why won't someone help us, France ,2017-08-08,,Family Leisure,Economy Class,Manchester to Barcelona via Paris CDG,August 2017,0,0,0,0,0,0,1,0,2017,8
air-france,9,definitely fly them again, France ,2017-08-07,Boeing 777-300,Business,First Class,Los Angeles to Barcelona via Paris,July 2017,5,5,4,5,4,0,5,1,2017,8
air-france,4,poor quality of food, France ,2017-08-03,,Couple Leisure,Economy Class,Johannesburg to Paris,July 2017,3,1,1,3,3,0,3,0,2017,8
air-france,3,not without some trouble, Russian Federation ,2017-07-05,,Family Leisure,Economy Class,Washington to Saint Petersburg via Paris,July 2017,4,3,3,4,1,0,2,0,2017,7
air-france,7,Overall very satisfied, Russian Federation ,2017-07-04,Boeing 777-200ER,Business,Economy Class,Paris to Dubai,July 2017,1,4,3,3,1,0,3,1,2017,7
air-france,8,"overall, two good flights", Russian Federation ,2017-07-03,Boeing 777-300 / A340,Solo Leisure,Economy Class,Tokyo to Freetown via Paris,July 2017,3,3,3,4,4,0,4,1,2017,7
air-france,9,overall experience is satisfying, Russian Federation ,2017-07-01,A319,Business,Economy Class,Sofia to Paris,June 2017,4,5,5,0,5,0,5,1,2017,7
air-france,10,cabin crew took care of me, Russian Federation ,2017-06-27,A320,Business,Economy Class,Prague to Paris CDG,May 2017,5,5,0,0,5,0,5,1,2017,6
air-france,3,nowhere to be seen and barely doing their job, Russian Federation ,2017-06-22,Boeing 777-200,Family Leisure,Economy Class,Paris CDG to Cancun,June 2017,3,1,1,2,2,0,2,0,2017,6
air-france,10,seats were comfortable, Russian Federation ,2017-06-20,,Couple Leisure,Economy Class,Vancouver to Munich via Paris,June 2017,5,5,5,5,5,0,5,1,2017,6
air-france,10,everything went above my expectations, Russian Federation ,2017-06-18,Boeing 777-300,Solo Leisure,Economy Class,Hong Kong to Kiev via Paris CDG,May 2017,4,5,5,5,5,0,5,1,2017,6
air-france,1,No info was briefed on why the delay, Russian Federation ,2017-06-18,,Business,Economy Class,Cameroon to London Heathrow via Paris,June 2017,1,1,1,3,1,1,1,0,2017,6
air-france,8,provided a full meal, Russian Federation ,2017-06-16,A320,Couple Leisure,Business Class,Paris CDG to Barcelona,June 2017,3,4,5,0,4,0,4,1,2017,6
air-france,10,attendants attentive and friendly, United Kingdom ,2017-10-08,Boeing 777-300ER,Solo Leisure,Economy Class,London to Bangkok via Paris,July 2017,4,5,4,5,5,0,5,1,2017,10
air-france,5,Boarding was an absolute mess, United Kingdom ,2017-10-04,A321,Solo Leisure,Economy Class,Paris to Marseille,October 2017,3,5,2,0,1,0,3,1,2017,10
air-france,3,my worst flight experience, United Kingdom ,2017-10-03,,Family Leisure,Economy Class,Cairo to Amsterdam via Paris,September 2017,4,5,3,3,1,0,3,0,2017,10
air-france,2,decision to no longer fly with them, United Kingdom ,2017-10-03,,Solo Leisure,Economy Class,Point-a-Pitre to Marseille via Paris,November 2016,3,2,4,4,1,0,2,0,2017,10
air-france,3,let down by ground staff, United Kingdom ,2017-10-03,A320,Business,Economy Class,Paris to Nice,October 2017,2,3,1,0,1,0,1,0,2017,10
air-france,1,everything I need is in my suitcase, United Kingdom ,2017-10-02,Boeing 777-300,Solo Leisure,Economy Class,Amsterdam to Bangkok via Paris,October 2017,1,1,1,1,1,0,1,0,2017,10
air-france,10,Great flights all round, United Kingdom ,2017-10-01,Boeing 787 / A318,Solo Leisure,Economy Class,London Heathrow to Paris,September 2017,5,5,5,5,5,5,5,1,2017,10
air-france,1,my luggage never arrived, United Kingdom ,2017-09-30,,Couple Leisure,Economy Class,Paris CDG to London,September 2017,3,3,3,0,1,0,1,0,2017,9
air-france,8,crew member was so helpful, United Kingdom ,2017-09-29,,Solo Leisure,Economy Class,Dublin to Paris,September 2017,3,5,3,0,1,0,4,1,2017,9
air-france,1,worst flight experience ever, United Kingdom ,2017-09-28,Boeing 787-9,Couple Leisure,Premium Economy,Amsterdam to Cairo via Paris,September 2017,3,5,0,0,1,0,1,0,2017,9
air-france,9,service of a very high standard , Ireland ,2017-05-15,Boeing 777-200ER,Couple Leisure,Business Class,Osaka to Paris,May 2017,5,5,5,5,4,0,2,1,2017,5
air-france,2,Premium Economy disappointing., Ireland ,2017-05-15,Boeing 777-300ER,Couple Leisure,Premium Economy,Paris to Tokyo,April 2017,1,1,1,4,4,0,1,0,2017,5
air-france,2,quality and comfort has decreased, Ireland ,2017-05-06,Boeing 777-300,Family Leisure,Economy Class,Paris to Punta Cana,April 2017,1,3,2,1,3,0,2,0,2017,5
air-france,3,service has critically decreased, Ireland ,2017-04-07,Boeing 777-300,Couple Leisure,Economy Class,Singapore to Paris,April 2017,1,4,1,2,2,0,2,0,2017,4
air-france,9,service was carried out efficiently, Ireland ,2017-04-02,A320,Business,Economy Class,Stockholm to Paris,April 2017,4,5,5,0,4,0,3,1,2017,4
air-france,2,denied me my Elite status, Ireland ,2017-03-23,A320,Couple Leisure,Economy Class,Florence to St Petersburgh via Paris,March 2017,1,2,1,0,1,0,1,0,2017,3
air-france,5,staff seemed to enjoy their work, Ireland ,2017-03-22,A320,Couple Leisure,Economy Class,Paris to Tel Aviv,March 2017,2,3,2,0,4,0,3,0,2017,3
air-france,9,a very good choice, Ireland ,2017-03-19,BAE 146-200,Solo Leisure,Economy Class,Paris CDG to Dusseldorf,March 2017,5,5,3,0,3,0,5,0,2017,3
air-france,1,service was terrible, Ireland ,2017-03-17,,Family Leisure,Economy Class,Warsaw to Paris,December 2016,2,1,1,0,1,0,1,0,2017,3
air-france,8,service was extraordinary, Ireland ,2017-02-18,A380-800,Solo Leisure,Business Class,Paris CDG to New York,April 2016,5,5,5,5,4,0,5,1,2017,2
air-france,9,service was pleasant and professional, United States ,2017-06-16,A380,Couple Leisure,Business Class,New York JFK to Paris CDG,June 2017,5,5,5,5,4,0,4,1,2017,6
air-france,9,flight was excellent, United States ,2017-06-14,Boeing 777-300ER,Couple Leisure,Premium Economy,Paris to Havana,June 2017,4,5,4,3,3,0,4,1,2017,6
air-france,8,I recommend Air France, United States ,2017-06-14,Boeing 777-300,Couple Leisure,Business Class,Sao Paulo to Paris,June 2017,4,4,4,3,4,0,4,1,2017,6
air-france,9,definitely fly Air France again, United States ,2017-06-07,E190 / Boeing 777-300ER,Solo Leisure,Economy Class,Dusseldorf to Miami via Paris,May 2017,5,5,5,4,5,0,5,1,2017,6
air-france,3,Online check in wasn't possible, United States ,2017-06-03,,Couple Leisure,Economy Class,Lima to Paris,May 2017,1,1,3,1,4,0,3,0,2017,6
air-france,10,exceeded our expectations, United States ,2017-06-02,Boeing 777-300ER,Couple Leisure,First Class,Singapore to Toulouse via Paris,June 2017,5,5,5,4,5,0,5,1,2017,6
air-france,9,A380 is a great aircraft, United States ,2017-05-25,A380,Couple Leisure,Economy Class,Newcastle to San Francisco via Paris,April 2017,4,4,5,3,4,0,4,1,2017,5
air-france,8,Overall a nice experience, United States ,2017-05-23,A318,Couple Leisure,Economy Class,Copenhagen to Paris,May 2017,3,4,5,0,4,0,5,1,2017,5
air-france,8,crew were friendly and attentive, United States ,2017-05-23,Boeing 777-300ER,Solo Leisure,Economy Class,Paris CDG to Atlanta,May 2017,3,4,4,4,4,0,4,1,2017,5
air-france,1,never fly with them again, United States ,2017-05-16,,Solo Leisure,Economy Class,Los Angeles to Amman via Paris,May 2017,1,1,1,2,1,0,1,0,2017,5
air-france,9,Perfect just about sums it up, United States ,2017-02-18,Boeing 777-200ER,Solo Leisure,Business Class,New York to Paris,May 2016,5,5,5,5,3,0,5,1,2017,2
air-france,9,glad that AF proved me wrong, United States ,2017-02-13,Boeing 777,Solo Leisure,Economy Class,Birmingham to Singapore via Paris,January 2017,4,5,4,5,3,4,5,1,2017,2
air-france,2,ignored my request for a refund , United States ,2017-02-11,,Family Leisure,Economy Class,Stuttgart to Toronto via Paris,October 2016,2,3,3,3,2,0,1,0,2017,2
air-france,10,"still give hot drinks, water and a snack", United States ,2017-02-08,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Paris CDG,February 2017,5,5,5,0,5,0,5,1,2017,2
air-france,8,"friendly, professional crew", United States ,2017-02-03,Boeing 777-300 /  Avro RJ85,Solo Leisure,Economy Class,GIG to DUB via CDG,December 2016,4,4,3,4,5,0,3,1,2017,2
air-france,9,staff onboard were very friendly, United States ,2017-02-02,,Business,Business Class,Paris CDG to Madrid,February 2017,4,5,4,0,5,0,4,1,2017,2
air-france,7,crew are efficient and attentive, United States ,2017-01-27,Boeing 777-200 / E195,Solo Leisure,Business Class,Seoul to Birmingham via Paris,January 2017,5,4,4,3,2,0,4,1,2017,1
air-france,1,"never apologized, it's a shame", United States ,2017-01-25,,Couple Leisure,Economy Class,Marseille to Paris,January 2017,3,1,0,0,1,0,1,0,2017,1
air-france,6,a decent experience, United States ,2017-01-18,A340,Solo Leisure,Economy Class,Paris to Bogota,January 2017,2,4,5,4,4,3,3,1,2017,1
air-france,10,I was most impressed, United States ,2017-01-15,Boeing 777-200,Solo Leisure,Premium Economy,LHR to CPT via CDG,January 2017,3,4,3,0,5,0,4,1,2017,1
air-france,3,previous flight was perfect, France ,2016-09-24,Boeing 777-200,Couple Leisure,Premium Economy,JFK to ORY,September 2016,2,1,1,2,4,0,2,1,2016,9
air-france,3,"staff not attentive, service orientated", France ,2016-09-18,Boeing 777-300,Family Leisure,Economy Class,CDG to JNB,September 2016,2,1,3,4,2,4,1,0,2016,9
air-france,6,cabin seemed old and outdated, France ,2016-09-18,A380,Family Leisure,Business Class,CDG to MEX,September 2016,2,4,3,1,3,0,5,0,2016,9
air-france,1,what an embarrassment, France ,2016-09-16,,Couple Leisure,Economy Class,FCO to GIG via CDG,September 2016,1,3,2,3,1,0,1,0,2016,9
air-france,1,service not very attentive, France ,2016-09-15,A380,Business,Business Class,LAX to FRA via CDG,July 2016,3,2,3,4,1,0,2,0,2016,9
air-france,8,seat pitch is very limited, France ,2016-09-05,A320,Solo Leisure,Economy Class,CDG to BGU,September 2016,1,5,4,1,3,1,4,1,2016,9
air-france,8,comfortable seats, France ,2016-09-05,A380,Solo Leisure,Economy Class,JFK to CDG,September 2016,4,4,4,4,3,0,4,1,2016,9
air-france,5,no hot meals or snack, France ,2016-08-26,Boeing 777,Solo Leisure,Economy Class,JFK to DXB via CDG,August 2016,3,3,2,3,4,3,3,0,2016,8
air-france,4,seating 10 abreast is very tight, France ,2016-08-25,Boeing 777-300ER,Solo Leisure,Economy Class,CDG to TNR,August 2016,2,2,2,5,3,0,2,1,2016,8
air-france,2,no more Air France if possible, France ,2016-08-19,A330 / A319,Business,Economy Class,AMS to CAI via CDG,February 2016,3,3,3,3,1,3,2,0,2016,8
air-france,8,upgrade to Premium Economy, Venezuela ,2017-01-12,Boeing 777,Couple Leisure,Premium Economy,PTY to FCO via CDG,October 2016,3,4,4,4,4,0,4,1,2017,1
